tid,sector,category,serial,cardId,name,tier,cardType,weaponId,upgradeTier,overdriveBonus,skillTag1,skillTag2,weaponFlag1,weaponFlag2,stackLimit,triggerType,effectSummary,conflictGroup,cardCategory,prerequisite1,prerequisite2,requiresLabel1,requiresLabel2,excludesLabel1,excludesLabel2,grantsLabel1,grantsLabel2,grantsLabel3,grantsLabel4,grantsLabelStacks,grantsLabelDuration,requirements,battlefieldEffectId
71020001,71,2,1,card:wpn01-stability-dampers,Stability Dampers,COMMON,WEAPON_UPGRADE,WPN-01,1,光谱哨戒持续+1.5s,recoilControl,,,,1,passive,后坐-25%，精确补偿命中阈值-1，连续4命中触发额外20真空伤害,weapon-upgrade::WPN-01,exclusive,,,weapon:pulse,,,,weapon:pulse,style:precision,,,1,,,
71020002,71,2,2,card:wpn01-adaptive-capacitor,Adaptive Capacitor,RARE,WEAPON_UPGRADE,WPN-01,2,哨戒伤害+10%并在超载时额外提供护盾10,burstFire,,,,1,passive,转为3连脉冲(3×26)，同一目标5次命中触发60感应冲击并减速15%,weapon-upgrade::WPN-01,exclusive,card:wpn01-stability-dampers,,weapon:pulse,,,,style:precision,weapon:pulse,style:burst,,1,,,
71020003,71,2,3,card:wpn02-refractive-lens,Refractive Lens,RARE,WEAPON_UPGRADE,WPN-02,1,虹光裂变扇形半径+15%,weaponRange,,isEnergy,,1,passive,射程+12%，过热恢复+15%，束宽+6px,weapon-upgrade::WPN-02,exclusive,,,weapon:beam,,,,weapon:beam,status:radiant,,,1,,,
71020004,71,2,4,card:wpn02-harmonic-resonance,Harmonic Resonance,EPIC,WEAPON_UPGRADE,WPN-02,2,爆裂后为共振织机提供+1蓄能层,beamIntensity,,isEnergy,,1,passive,同一目标持续1.8s后爆裂90AoE并刷新燃烧持续,weapon-upgrade::WPN-02,exclusive,card:wpn02-refractive-lens,,weapon:beam,,,,status:radiant,weapon:beam,style:resonance,,1,,,
71020005,71,2,5,card:wpn03-fragment-loading,Fragment Loading,COMMON,WEAPON_UPGRADE,WPN-03,1,裂影回旋首次弹射增加+1目标,reloadSpeed,,isProjectile,,1,passive,装填-20%，散射角-4°，满散射时暴击率+4%,weapon-upgrade::WPN-03,exclusive,,,weapon:scatter,,,,weapon:scatter,style:spread,,,1,,,
71020006,71,2,6,card:wpn03-shrapnel-maelstrom,Shrapnel Maelstrom,EPIC,WEAPON_UPGRADE,WPN-03,2,燃烧区内敌人受到的陷阱伤害+25%,burstFire,ignite,isProjectile,,1,passive,命中同一目标两次触发90爆炸并留下2秒燃烧区,weapon-upgrade::WPN-03,exclusive,card:wpn03-fragment-loading,,weapon:scatter,,,,style:spread,weapon:scatter,status:burnfield,,1,,,effect:shrapnel_burn
71020007,71,2,7,card:wpn04-barbed-chainset,Barbed Chainset,RARE,WEAPON_UPGRADE,WPN-04,1,锁链命中时刷新捕捉陷阱冷却-4s,pierce,,isMelee,,1,passive,命中额外拉回3名敌人并附加60穿刺伤害,weapon-upgrade::WPN-04,exclusive,,,weapon:harpoon,,,,weapon:harpoon,style:chain,,,1,,,
71020008,71,2,8,card:wpn04-reckoning-dragnet,Reckoning Dragnet,EPIC,WEAPON_UPGRADE,WPN-04,2,领域内敌人被聚拢至虚空收割者中心,bossControl,pierce,isMelee,,1,passive,对Boss命中生成2.5s锁链领域，减少敌人移动60%,weapon-upgrade::WPN-04,exclusive,card:wpn04-barbed-chainset,,weapon:harpoon,,,,style:chain,weapon:harpoon,status:lockdown,,1,,,effect:chain_domain
71020009,71,2,9,card:wpn05-dual-pulse-core,Dual Pulse Core,RARE,WEAPON_UPGRADE,WPN-05,1,刷新时返还1枚弹药,areaDamage,radiation,isProjectile,,1,passive,命中释放二段脉冲额外55AoE，微弹追踪系数+10%,weapon-upgrade::WPN-05,exclusive,,,weapon:launcher,,,,weapon:launcher,style:dual-core,,,1,,,
71020010,71,2,10,card:wpn05-bloom-singularity,Bloom Singularity,EPIC,WEAPON_UPGRADE,WPN-05,2,黑洞持续期间共振织机支援范围+20%,crowdControl,radiation,isProjectile,,1,passive,命中点生成2.5s黑洞(30/tick)，聚拢敌人并刷新微弹,weapon-upgrade::WPN-05,exclusive,card:wpn05-dual-pulse-core,,weapon:launcher,,,,style:dual-core,weapon:launcher,status:singularity,,1,,,effect:singularity_field
